Site,Acacia dealbata dealbata,Acacia obliquinervia,Acacia melanoxylon,Eucalyptus dalrympleana,Eucalyptus delegatensis,Eucalyptus pauciflora,Eucalyptus radiata
1,,,1,1,,,
2,,,,,1,1,1
3,,,1,,1,,1
4,,,,1,,,
5,,,,1,,1,1
6,,,1,,,,
7,,,,1,1,,1
8,,,,,,,
9,,,,,,,
10,,,,,,,1
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,1,1,1,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,1,,,
31,,,,,,,
32,,,,,,,
33,,,,1,1,,
34,,,,,1,,
35,,,,,,,1
36,,,,1,,,
37,,,,,,,
38,,,,,,,
39,,,,,1,,
40,,,,,,,1
41,,,,,,,1
42,,,,,,,
43,1,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,1,,1,,1
52,,,,1,,1,
53,,,1,1,1,1,
54,,,,1,1,1,
55,,,,1,,1,
56,,,,1,,,
57,,,1,,1,,
58,,,,,,,
59,,,,,1,1,
60,,,,,1,1,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,1,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,1,,,1,,
76,,,,1,1,1,
77,,1,,,,,
78,,1,,,1,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,1,1,1,
