Site,Lithology,surveyYear,Elevation,Slope,Aspect,Protection,sJan,sFeb,sMar,sApr,sMay,sJun,sJul,sAug,sSep,sOct,sNov,sDec,sAnnual,BIO1,BIO5,BIO6,BIO12,BIO19,sevObserved,dNBR91,dNBR03,dNBR06,dNBR07,lastFire91,lastFire03,lastFire06,lastFire07,lastFire13
1,Granite,2009,1218,11,143,27,191946,149964,124317,77541,47521,31602,41569,68167,111369,150279,180902,199321,190143,9.2713,20.9004,-3.08817,1180,368,,59,0,118,-45,1979,1979,1979,1979,1979
2,Granite,2009,1168,13,250,19,195640,156337,134722,88272,57110,38529,50572,78980,122242,158181,185194,201796,191010,9.9987,20.9475,-1.98074,1304,424,2,211,0,50,-6,1985,1985,1985,1985,1985
3,Basalt,2008,1060,26,4,32,188993,160826,152411,111025,79068,55080,71556,102535,142552,166790,181163,191282,188071,10.2582,21.9601,-2.33678,1307,436,,68,0,42,12,1981,1981,1981,1981,1981
4,Granite,2009,1189,8,48,28,197431,164330,150804,106245,73648,50687,66239,97241,139695,168942,188432,201163,197651,9.06562,20.6632,-3.26858,1159,356,2,123,0,54,-178,1979,1979,1979,1979,1979
5,Granite,2009,1217,5,90,8,197179,156385,133023,85846,54682,36783,48265,76373,120258,157690,186382,203867,198227,9.04775,20.6577,-3.75864,1249,400,1,230,0,2,-109,1980,1980,1980,1980,1980
6,Granite,2009,1201,27,84,56,180588,145873,127241,84897,55854,37855,49578,76439,115976,148118,171276,186010,180588,9.22347,20.8545,-3.06336,1183,368,1,127,0,88,-99,1979,1979,1979,1979,1979
7,Granite,2009,1029,24,100,26,178697,141278,119768,76646,48527,32524,42705,68114,108046,142348,168727,184948,178697,10.1442,22.0286,-2.62382,1183,374,2,131,0,96,-48,1979,1979,1979,1979,1979
8,Basalt,2008,1054,29,345,40,191060,161116,150984,108531,76482,53088,69060,99866,140686,166590,182686,194154,183950,10.4706,22.1705,-2.21077,1287,430,,113,0,69,-33,1981,1981,1981,1981,1981
9,Granite,2009,1205,11,148,16,181846,138515,109735,64162,36478,23687,31340,55144,96685,137290,170558,190188,191442,9.71586,21.0475,-2.30187,1311,429,2,139,0,53,34,1985,1985,1985,1985,1985
10,Granite,2009,1105,19,157,23,174576,131662,102416,58385,32282,20780,27426,49630,89663,129975,163435,183016,180157,9.74717,21.3007,-2.51216,1303,431,1,95,0,133,-114,1979,1979,1979,1979,1979
11,Metamorphic,2009,1090,29,356,66,180789,156505,151864,113017,81943,57133,74382,105116,142881,163377,173891,182070,184476,9.17701,20.7035,-3.00531,1340,402,2,-383,20,79,-137,1981,1981,2003,2003,2003
12,Granite,2008,1085,21,231,36,177574,137133,110994,67086,39837,26100,34530,58268,98750,136626,166988,185178,177574,9.1795,20.6426,-2.7704,1214,337,3,-283,40,0,-4,1952,1952,2003,2003,2003
13,Metamorphic,2010,1250,13,244,12,193010,151940,127758,81218,50901,34084,44743,71937,114999,152789,182159,199976,192399,9.28346,20.4607,-2.50444,1321,383,3,120,10,17,53,1964,1964,2003,2003,2003
14,Metamorphic,2008,1089,12,294,35,193672,158103,141600,96785,65364,44401,58550,87575,130147,161405,184055,198401,193672,9.05755,20.5076,-2.96184,1302,375,3,-587,20,-59,61,1972,1972,2003,2003,2003
15,Granite,2009,1176,14,43,22,196793,161232,144473,99197,67189,46105,60156,90061,132793,164788,187184,201633,196952,8.51107,19.5275,-3.38215,1223,309,3,52,50,38,-56,1972,1972,2003,2003,2003
16,Granite,2009,1336,6,229,8,198412,156985,133041,85521,54279,36519,47873,75995,120123,158166,187451,205309,198412,8.00809,18.8346,-3.53388,1340,339,3,-12,30,-33,-229,1972,1972,2003,2003,2003
17,Granite,2009,1426,4,298,7,203245,163456,142364,94729,62343,42486,55469,85158,129749,165789,192637,209297,203271,7.5926,18.4585,-3.86034,1506,396,3,135,30,-93,-57,1981,1981,2003,2003,2003
18,Basalt,2008,1318,6,66,13,201679,162562,142345,95199,62901,42871,56014,85696,129942,165104,191192,207436,200588,8.50322,19.8614,-3.72896,1463,466,3,187,1,-40,-19,1939,1939,2003,2003,2003
19,Granite,2008,1367,16,1,22,201765,167887,154080,108904,75722,52536,68221,99720,142786,172617,192540,205637,201765,7.79482,18.7233,-5.06005,1593,504,3,105,30,57,-68,1952,1952,2003,2003,2003
20,Granite,2008,1379,8,147,13,198505,156832,132580,84966,53761,36123,47383,75425,119613,157903,187486,205488,197180,8.10595,19.5151,-3.84953,1631,523,3,106,30,77,-158,1952,1952,2003,2003,2003
21,Granite,2008,1420,17,134,34,191255,148801,122116,75522,46307,30857,40462,66369,109020,148711,179997,199111,189739,8.03075,19.0247,-3.27324,1596,462,1,-312,10,113,-102,1972,1972,2003,2003,2003
